IsWinner,MarketplaceId,ProductId,TimeOfOfferChange,ConditionNotes,IsFeaturedMerchant,IsFulfilledByAmazon,ListingPrice,ListingCurrency,SellerFeedbackRating,SellerFeedbackCount,SellerId,ShippingPrice,ShippingCurrency,ShippingTime_minHours,ShippingTime_maxHours,ShippingTime_availtype,ShipsDomestically,ShipsFromCountry,ShipsFromState,SubCondition
0,1156461832353164887,4955681902681445111,2016-02-04T04:30:07.525Z,".",1,0,59.99,CAD,98,478,5452082314297826053,6.99,CAD,24,48,NOW,1,CA,ON,new
0,1156461832353164887,4955681902681445111,2016-02-04T04:30:07.525Z,,0,0,51.15,CAD,98,3293,4143506568603310959,22.47,CAD,48,72,NOW,1,US,NY,new
0,1156461832353164887,4955681902681445111,2016-02-04T04:30:07.525Z,,0,0,77.27,CAD,71,7,-5203594887869139290,0.00,CAD,48,72,NOW,1,,,new
0,1156461832353164887,4955681902681445111,2016-02-04T04:30:07.525Z,"BRAND NEW!! SHIPS FROM ONTARIO CANADA. HST ALREADY INCLUDED IN PRICE! Reliable service you",1,0,72.77,CAD,91,10606,-1177408302343430963,5.00,CAD,24,48,NOW,1,,,new
0,1156461832353164887,4955681902681445111,2016-02-04T04:30:07.525Z,"GST/HST Only, No PST.",1,0,66.74,CAD,95,4384,-2572277640783537773,14.19,CAD,24,48,NOW,1,CA,ON,new
0,1156461832353164887,4955681902681445111,2016-02-04T04:30:07.525Z,"We ship by courier next day when possible on most items. We do not ship to PO boxes.We do",1,0,71.55,CAD,94,337,2760162070632027753,14.99,CAD,24,48,NOW,1,CA,QC,new
0,1156461832353164887,4955681902681445111,2016-02-04T04:30:07.525Z,,1,0,52.91,CAD,93,2521,-5016003493506265192,37.65,CAD,24,48,NOW,1,US,VA,new
0,1156461832353164887,4955681902681445111,2016-02-04T04:30:07.525Z,"Flat Rate Courier Shipping. No shipping to PO boxes or remote areas. Trucking companies ar",1,0,76.09,CAD,98,105,-4763225123075092614,14.99,CAD,24,48,NOW,1,CA,QC,new
0,1156461832353164887,4955681902681445111,2016-02-04T04:30:07.525Z,"100% Duty Free Shopping. We prepay ALL Duties, VAT and Brokerage fees",1,0,92.86,CAD,91,3459,7235704646333918828,0.00,CAD,24,48,NOW,1,,,new
0,1156461832353164887,4955681902681445111,2016-02-04T04:30:07.525Z,,1,0,84.15,CAD,96,41419,9012427554787096099,11.00,CAD,24,48,NOW,1,,,new
0,1156461832353164887,4955681902681445111,2016-02-04T04:30:07.525Z,"Brand new and ready to ship from CANADA **** FAST SHIPPING ***",1,0,86.08,CAD,96,7090,-373508113925093038,9.95,CAD,24,48,NOW,1,CA,ON,new
0,1156461832353164887,4955681902681445111,2016-02-04T04:30:07.525Z,,1,0,91.53,CAD,96,1790,1788801474825896666,9.98,CAD,96,120,NOW,1,US,NY,new
