,IsWinner,ProductId,TimeOfOfferChange,IsFeaturedMerchant,IsFulfilledByAmazon,ListingPrice,SellerFeedbackRating,SellerFeedbackCount,SellerId,ShippingPrice,ShippingTime_minHours,ShippingTime_maxHours,ShipsFromCountry,ShipsFromState
109,0,-7405035237453204588,2016-02-04T04:30:05.605Z,1,0,23.85,100,4601,5657218934756058127,0.0,24,48,CA,ON
110,0,-7405035237453204588,2016-02-04T04:30:05.605Z,0,0,14.99,84,161,-3129154375621551414,8.99,24,48,CA,ON
111,0,-7405035237453204588,2016-02-04T04:30:05.605Z,1,0,8.99,94,337,2760162070632027753,14.99,24,48,CA,QC
112,0,-7405035237453204588,2016-02-04T04:30:05.605Z,1,0,14.28,88,8452,-6639690782514669126,9.9,24,48,,
113,0,-7405035237453204588,2016-02-04T04:30:05.605Z,1,0,13.09,98,105,-4763225123075092614,14.99,24,48,CA,QC
114,0,-7405035237453204588,2016-02-04T04:30:05.605Z,1,0,18.19,96,1790,1788801474825896666,9.98,96,120,US,NY
115,0,-7405035237453204588,2016-02-04T04:30:05.605Z,0,0,39.77,71,7,-5203594887869139290,0.0,48,72,,
116,0,-7405035237453204588,2016-02-04T04:30:05.605Z,1,0,45.62,96,1289,403962612376694152,9.54,24,48,,
117,1,4955681902681445111,2016-02-04T04:30:07.525Z,1,1,40.98,0,0,1207135739277432339,0.0,0,0,,
118,0,4955681902681445111,2016-02-04T04:30:07.525Z,1,0,50.59,95,10182,7102261811958052132,6.58,96,120,CA,BC
119,0,4955681902681445111,2016-02-04T04:30:07.525Z,1,0,50.24,95,2283,8118683026995803963,10.42,144,240,CA,BC
120,0,4955681902681445111,2016-02-04T04:30:07.525Z,1,0,62.85,96,35264,6791568714796518563,0.0,96,120,CA,QC
121,0,4955681902681445111,2016-02-04T04:30:07.525Z,1,0,59.99,98,478,5452082314297826053,6.99,24,48,CA,ON
122,0,4955681902681445111,2016-02-04T04:30:07.525Z,0,0,51.15,98,3293,4143506568603310959,22.47,48,72,US,NY
123,0,4955681902681445111,2016-02-04T04:30:07.525Z,0,0,77.27,71,7,-5203594887869139290,0.0,48,72,,
124,0,4955681902681445111,2016-02-04T04:30:07.525Z,1,0,72.77,91,10606,-1177408302343430963,5.0,24,48,,
125,0,4955681902681445111,2016-02-04T04:30:07.525Z,1,0,66.74,95,4384,-2572277640783537773,14.19,24,48,CA,ON
126,0,4955681902681445111,2016-02-04T04:30:07.525Z,1,0,71.55,94,337,2760162070632027753,14.99,24,48,CA,QC
127,0,4955681902681445111,2016-02-04T04:30:07.525Z,1,0,52.91,93,2521,-5016003493506265192,37.65,24,48,US,VA
128,0,4955681902681445111,2016-02-04T04:30:07.525Z,1,0,76.09,98,105,-4763225123075092614,14.99,24,48,CA,QC
129,0,4955681902681445111,2016-02-04T04:30:07.525Z,1,0,92.86,91,3459,7235704646333918828,0.0,24,48,,
130,0,4955681902681445111,2016-02-04T04:30:07.525Z,1,0,84.15,96,41419,9012427554787096099,11.0,24,48,,
